date,Inflation,Labour,Financial,Monetary,Real
1971-02-01,,,,,
1971-03-01,,,,,
1971-04-01,,,,,
1971-05-01,,,,,
1971-06-01,,,,,
1971-07-01,,,,,
1971-08-01,,,,,
1971-09-01,,,,,
1971-10-01,,,,,
1971-11-01,,,,,
1971-12-01,,,,,
1972-01-01,,,,,
1972-02-01,,,,,
1972-03-01,,,,,
1972-04-01,,,,,
1972-05-01,,,,,
1972-06-01,,,,,
1972-07-01,,,,,
1972-08-01,,,,,
1972-09-01,,,,,
1972-10-01,,,,,
1972-11-01,,,,,
1972-12-01,,,,,
1973-01-01,,,,,
1973-02-01,,,,,
1973-03-01,,,,,
1973-04-01,,,,,
1973-05-01,,,,,
1973-06-01,,,,,
1973-07-01,,,,,
1973-08-01,,,,,
1973-09-01,,,,,
1973-10-01,,,,,
1973-11-01,,,,,
1973-12-01,,,,,
1974-01-01,,,,,
1974-02-01,,,,,
1974-03-01,,,,,
1974-04-01,,,,,
1974-05-01,,,,,
1974-06-01,,,,,
1974-07-01,,,,,
1974-08-01,,,,,
1974-09-01,,,,,
1974-10-01,,,,,
1974-11-01,,,,,
1974-12-01,,,,,
1975-01-01,,,,,
1975-02-01,,,,,
1975-03-01,,,,,
1975-04-01,,,,,
1975-05-01,,,,,
1975-06-01,,,,,
1975-07-01,,,,,
1975-08-01,,,,,
1975-09-01,,,,,
1975-10-01,,,,,
1975-11-01,,,,,
1975-12-01,,,,,
1976-01-01,,,,,
1976-02-01,,,,,
1976-03-01,,,,,
1976-04-01,,,,,
1976-05-01,,,,,
1976-06-01,,,,,
1976-07-01,,,,,
1976-08-01,,,,,
1976-09-01,,,,,
1976-10-01,,,,,
1976-11-01,,,,,
1976-12-01,,,,,
1977-01-01,,,,,
1977-02-01,,,,,
1977-03-01,,,,,
1977-04-01,,,,,
1977-05-01,,,,,
1977-06-01,,,,,
1977-07-01,,,,,
1977-08-01,,,,,
1977-09-01,,,,,
1977-10-01,,,,,
1977-11-01,,,,,
1977-12-01,,,,,
1978-01-01,,,,,
1978-02-01,,,,,
1978-03-01,,,,,
1978-04-01,,,,,
1978-05-01,,,,,
1978-06-01,,,,,
1978-07-01,,,,,
1978-08-01,,,,,
1978-09-01,,,,,
1978-10-01,,,,,
1978-11-01,,,,,
1978-12-01,,,,,
1979-01-01,,,,,
1979-02-01,,100.0,,93.87755102040816,2.0408163265306123
1979-03-01,,100.0,,92.0,8.0
1979-04-01,,100.0,,78.43137254901961,25.49019607843137
1979-05-01,,94.11764705882352,,69.23076923076923,25.0
1979-06-01,,94.44444444444444,,62.264150943396224,28.30188679245283
1979-07-01,,84.21052631578947,,61.111111111111114,38.88888888888889
1979-08-01,,100.0,,65.45454545454545,45.45454545454545
1979-09-01,,100.0,,71.42857142857143,42.857142857142854
1979-10-01,,100.0,,100.0,42.10526315789473
1979-11-01,,100.0,,93.10344827586206,46.55172413793103
1979-12-01,,100.0,,93.22033898305084,50.847457627118644
1980-01-01,,100.0,,88.33333333333333,45.0
1980-02-01,,100.0,,90.1639344262295,57.377049180327866
1980-03-01,,100.0,,100.0,51.61290322580645
1980-04-01,,100.0,,100.0,42.857142857142854
1980-05-01,,100.0,,17.1875,75.0
1980-06-01,,100.0,,12.307692307692308,78.46153846153847
1980-07-01,,100.0,,13.636363636363635,80.3030303030303
1980-08-01,,93.75,,22.388059701492537,79.1044776119403
1980-09-01,,87.87878787878788,,48.529411764705884,73.52941176470588
1980-10-01,,85.29411764705883,,68.11594202898551,73.91304347826086
1980-11-01,,80.0,,97.14285714285714,70.0
1980-12-01,,75.0,,100.0,59.154929577464785
1981-01-01,,67.56756756756756,,97.22222222222221,66.66666666666666
1981-02-01,,68.42105263157895,,91.78082191780823,68.4931506849315
1981-03-01,,66.66666666666666,,58.108108108108105,72.97297297297297
1981-04-01,,60.0,,86.66666666666667,81.33333333333333
1981-05-01,,53.65853658536586,,100.0,53.94736842105263
1981-06-01,,52.38095238095239,,100.0,23.376623376623375
1981-07-01,,51.162790697674424,,96.15384615384616,15.384615384615385
1981-08-01,,59.09090909090909,,91.13924050632912,15.18987341772152
1981-09-01,,68.88888888888889,,87.5,23.75
1981-10-01,,82.6086956521739,,71.60493827160494,45.67901234567901
1981-11-01,,85.1063829787234,,23.170731707317074,71.95121951219512
1981-12-01,,89.58333333333334,,20.481927710843372,85.54216867469879
1982-01-01,,89.79591836734694,,46.42857142857143,89.28571428571429
1982-02-01,,90.0,,87.05882352941177,82.35294117647058
1982-03-01,,90.19607843137256,,88.37209302325581,81.3953488372093
1982-04-01,,92.3076923076923,,83.9080459770115,78.16091954022988
1982-05-01,,94.33962264150944,,64.77272727272727,85.22727272727273
1982-06-01,,94.44444444444444,,51.68539325842697,87.64044943820225
1982-07-01,,96.36363636363636,,42.22222222222222,86.66666666666667
1982-08-01,,96.42857142857143,,20.87912087912088,87.91208791208791
1982-09-01,,96.49122807017544,,35.869565217391305,86.95652173913044
1982-10-01,,96.55172413793103,,29.03225806451613,83.87096774193549
1982-11-01,,93.22033898305084,,43.61702127659575,78.72340425531915
1982-12-01,,80.0,,43.15789473684211,77.89473684210526
1983-01-01,,68.85245901639344,,33.33333333333333,85.41666666666666
1983-02-01,,62.903225806451616,,26.804123711340207,100.0
1983-03-01,,57.14285714285714,,42.857142857142854,98.9795918367347
1983-04-01,,45.3125,,45.45454545454545,91.91919191919192
1983-05-01,,40.0,,47.0,91.0
1983-06-01,,31.818181818181817,,51.48514851485149,86.13861386138613
1983-07-01,,20.8955223880597,,56.86274509803921,78.43137254901961
1983-08-01,,20.588235294117645,,67.96116504854369,63.10679611650486
1983-09-01,,5.797101449275362,,52.88461538461539,45.19230769230769
1983-10-01,,1.4285714285714286,,51.42857142857142,36.19047619047619
1983-11-01,,0.0,,50.0,27.358490566037734
1983-12-01,,0.0,,50.467289719626166,14.018691588785046
1984-01-01,,0.0,,48.148148148148145,0.0
1984-02-01,,0.0,,47.706422018348626,0.0
1984-03-01,,0.0,,48.18181818181818,0.9090909090909091
1984-04-01,,2.631578947368421,,58.55855855855856,1.8018018018018018
1984-05-01,,3.896103896103896,,61.60714285714286,1.7857142857142856
1984-06-01,,6.41025641025641,,78.76106194690266,3.5398230088495577
1984-07-01,,8.860759493670885,,80.7017543859649,4.385964912280701
1984-08-01,,10.0,,86.08695652173914,5.217391304347826
1984-09-01,,12.345679012345679,,79.3103448275862,8.620689655172415
1984-10-01,,17.073170731707318,,51.28205128205128,10.256410256410255
1984-11-01,,18.072289156626507,,38.13559322033898,12.711864406779661
1984-12-01,,23.809523809523807,,18.487394957983195,19.327731092436977
1985-01-01,,18.823529411764707,,19.166666666666668,32.5
1985-02-01,,22.093023255813954,,31.40495867768595,33.88429752066116
1985-03-01,,22.988505747126435,,43.44262295081967,29.508196721311474
1985-04-01,,32.95454545454545,,35.77235772357724,26.82926829268293
1985-05-01,,37.07865168539326,,22.58064516129032,33.87096774193548
1985-06-01,,40.0,,16.0,46.400000000000006
1985-07-01,,37.362637362637365,,19.047619047619047,60.317460317460316
1985-08-01,,38.04347826086957,,23.62204724409449,65.35433070866141
1985-09-01,,41.935483870967744,,28.125,57.8125
1985-10-01,,45.744680851063826,,37.98449612403101,57.36434108527132
1985-11-01,,46.31578947368421,,40.0,47.69230769230769
1985-12-01,,42.70833333333333,,48.091603053435115,28.24427480916031
1986-01-01,,37.11340206185567,,47.72727272727273,17.424242424242426
1986-02-01,,38.775510204081634,,50.37593984962406,17.293233082706767
1986-03-01,,41.41414141414141,,57.46268656716418,23.134328358208954
1986-04-01,,42.0,,54.81481481481482,31.11111111111111
1986-05-01,,48.51485148514851,,48.529411764705884,43.38235294117647
1986-06-01,,47.05882352941176,,48.175182481751825,41.605839416058394
1986-07-01,,40.77669902912621,,43.47826086956522,36.231884057971016
1986-08-01,,48.07692307692308,,33.093525179856115,44.60431654676259
1986-09-01,,51.42857142857142,,17.142857142857142,54.285714285714285
1986-10-01,,52.83018867924528,,17.02127659574468,54.60992907801418
1986-11-01,,50.467289719626166,,32.3943661971831,55.633802816901415
1986-12-01,,39.81481481481482,,51.048951048951054,67.13286713286713
1987-01-01,,34.862385321100916,,47.22222222222222,75.0
1987-02-01,,30.0,,35.172413793103445,54.48275862068965
1987-03-01,,26.126126126126124,,21.232876712328768,26.71232876712329
1987-04-01,,24.107142857142858,,15.646258503401361,18.367346938775512
1987-05-01,,19.469026548672566,,26.351351351351347,6.756756756756757
1987-06-01,,13.157894736842104,,22.14765100671141,1.342281879194631
1987-07-01,,13.043478260869565,,19.333333333333332,0.0
1987-08-01,,13.793103448275861,,17.218543046357617,0.0
1987-09-01,,12.82051282051282,,21.710526315789476,0.0
1987-10-01,,11.016949152542372,,22.875816993464053,0.0
1987-11-01,,10.084033613445378,,12.987012987012985,0.0
1987-12-01,,14.166666666666666,,14.193548387096774,0.0
1988-01-01,,24.793388429752067,,23.717948717948715,0.641025641025641
1988-02-01,,29.508196721311474,,24.840764331210192,3.1847133757961785
1988-03-01,,26.82926829268293,,22.151898734177212,4.430379746835443
1988-04-01,,19.35483870967742,,20.125786163522015,5.031446540880504
1988-05-01,,24.0,,23.75,6.25
1988-06-01,,23.015873015873016,,44.72049689440994,10.559006211180124
1988-07-01,,32.28346456692913,,50.617283950617285,12.345679012345679
1988-08-01,,35.9375,,56.44171779141104,12.269938650306749
1988-09-01,,34.10852713178294,,56.09756097560976,13.414634146341465
1988-10-01,,30.76923076923077,,57.57575757575758,14.545454545454545
1988-11-01,,21.374045801526716,,59.63855421686747,17.46987951807229
1988-12-01,,23.484848484848484,,71.25748502994011,19.16167664670659
1989-01-01,,24.81203007518797,,77.97619047619048,12.5
1989-02-01,,33.582089552238806,,81.65680473372781,10.650887573964498
1989-03-01,,38.51851851851852,,82.94117647058825,8.235294117647058
1989-04-01,,46.32352941176471,,76.0233918128655,8.187134502923977
1989-05-01,,50.36496350364964,,65.11627906976744,8.13953488372093
1989-06-01,,57.971014492753625,,56.64739884393064,12.138728323699421
1989-07-01,,61.87050359712231,,43.67816091954023,19.54022988505747
1989-08-01,,62.857142857142854,,53.142857142857146,23.42857142857143
1989-09-01,,64.53900709219859,,56.81818181818182,26.136363636363637
1989-10-01,,65.49295774647888,,55.367231638418076,33.33333333333333
1989-11-01,,67.13286713286713,,44.38202247191011,34.831460674157306
1989-12-01,,67.36111111111111,,40.78212290502793,36.312849162011176
1990-01-01,,66.89655172413794,,25.555555555555554,48.888888888888886
1990-02-01,,69.17808219178082,,25.96685082872928,44.751381215469614
1990-03-01,,69.38775510204081,,33.51648351648351,44.505494505494504
1990-04-01,,69.5945945945946,,39.34426229508197,50.27322404371585
1990-05-01,,70.46979865771812,,38.04347826086957,37.5
1990-06-01,,71.33333333333334,,26.486486486486488,35.13513513513514
1990-07-01,,73.50993377483444,,11.29032258064516,27.956989247311824
1990-08-01,,76.31578947368422,,8.02139037433155,29.946524064171122
1990-09-01,,80.3921568627451,,6.382978723404255,26.595744680851062
1990-10-01,,83.76623376623377,,5.82010582010582,24.33862433862434
1990-11-01,,85.80645161290322,,7.894736842105263,29.47368421052631
1990-12-01,,87.82051282051282,,7.853403141361256,34.55497382198953
1991-01-01,,88.53503184713377,80.0,7.291666666666667,35.41666666666667
1991-02-01,,89.24050632911393,36.36363636363637,5.699481865284974,49.740932642487046
1991-03-01,,91.82389937106919,0.0,6.185567010309279,61.855670103092784
1991-04-01,,91.875,0.0,6.153846153846154,56.92307692307692
1991-05-01,,90.06211180124224,7.142857142857142,5.1020408163265305,57.6530612244898
1991-06-01,,88.27160493827161,13.333333333333334,5.583756345177665,51.26903553299492
1991-07-01,,85.88957055214725,12.5,7.07070707070707,41.91919191919192
1991-08-01,,84.14634146341463,35.294117647058826,10.050251256281408,37.185929648241206
1991-09-01,,83.03030303030303,66.66666666666666,11.5,30.0
1991-10-01,,83.73493975903614,78.94736842105263,10.44776119402985,27.860696517412936
1991-11-01,,82.03592814371258,70.0,4.455445544554455,22.772277227722775
1991-12-01,,85.71428571428571,71.42857142857143,3.4482758620689653,22.167487684729064
1992-01-01,,86.3905325443787,40.909090909090914,3.9215686274509802,22.54901960784314
1992-02-01,,84.70588235294117,21.73913043478261,5.365853658536586,17.560975609756095
1992-03-01,,81.87134502923976,8.333333333333332,10.679611650485436,11.650485436893204
1992-04-01,,79.06976744186046,12.0,5.314009661835748,8.212560386473431
1992-05-01,,78.61271676300578,34.61538461538461,7.6923076923076925,10.096153846153847
1992-06-01,,78.73563218390804,44.44444444444444,4.30622009569378,12.440191387559809
1992-07-01,,83.42857142857143,64.28571428571429,3.3333333333333335,9.047619047619047
1992-08-01,,82.38636363636364,79.3103448275862,4.265402843601896,14.218009478672986
1992-09-01,,84.18079096045197,86.66666666666667,4.245283018867925,18.39622641509434
1992-10-01,,75.28089887640449,90.32258064516128,6.572769953051644,18.30985915492958
1992-11-01,,74.30167597765363,46.875,10.74766355140187,16.355140186915886
1992-12-01,,71.11111111111111,30.303030303030305,18.6046511627907,13.023255813953488
1993-01-01,,65.19337016574586,29.411764705882355,17.59259259259259,5.555555555555555
1993-02-01,,62.08791208791209,54.285714285714285,15.668202764976957,4.6082949308755765
1993-03-01,,63.934426229508205,66.66666666666666,18.34862385321101,8.715596330275229
1993-04-01,,65.21739130434783,64.86486486486487,17.80821917808219,14.15525114155251
1993-05-01,,64.86486486486487,63.1578947368421,19.545454545454547,23.18181818181818
1993-06-01,,62.365591397849464,35.8974358974359,22.624434389140273,25.339366515837103
1993-07-01,,62.03208556149733,35.0,23.873873873873876,28.37837837837838
1993-08-01,,62.23404255319149,19.51219512195122,23.766816143497756,26.00896860986547
1993-09-01,,59.25925925925925,40.476190476190474,25.0,23.660714285714285
1993-10-01,,62.63157894736842,34.883720930232556,24.88888888888889,20.444444444444446
1993-11-01,,59.16230366492147,77.27272727272727,23.008849557522122,22.566371681415927
1993-12-01,,56.25,35.55555555555556,22.46696035242291,20.704845814977972
1994-01-01,,57.51295336787565,19.565217391304348,23.24561403508772,24.12280701754386
1994-02-01,,61.34020618556701,46.808510638297875,27.074235807860266,28.82096069868996
1994-03-01,,60.0,41.66666666666667,27.391304347826086,20.0
1994-04-01,,55.61224489795919,36.734693877551024,42.857142857142854,19.047619047619047
1994-05-01,,52.28426395939086,14.000000000000002,62.5,7.327586206896551
1994-06-01,,53.535353535353536,29.411764705882355,65.66523605150213,4.291845493562231
1994-07-01,,53.768844221105525,28.846153846153843,62.39316239316239,4.700854700854701
1994-08-01,,48.5,32.075471698113205,62.5531914893617,3.404255319148936
1994-09-01,,46.766169154228855,50.0,64.40677966101694,3.8135593220338984
1994-10-01,,45.54455445544555,74.54545454545455,72.15189873417721,3.375527426160337
1994-11-01,,44.33497536945813,57.14285714285714,88.23529411764706,2.941176470588235
1994-12-01,,43.627450980392155,35.08771929824561,95.81589958158996,2.510460251046025
1995-01-01,,43.90243902439025,31.03448275862069,94.58333333333333,3.3333333333333335
1995-02-01,,43.203883495145625,33.89830508474576,92.91666666666667,4.166666666666666
1995-03-01,,47.82608695652174,60.0,82.5,7.083333333333333
1995-04-01,,57.692307692307686,59.01639344262295,75.0,12.083333333333334
1995-05-01,,67.46411483253588,48.38709677419355,76.25,16.25
1995-06-01,,71.42857142857143,58.730158730158735,77.91666666666667,27.500000000000004
1995-07-01,,75.82938388625593,78.125,77.08333333333334,37.083333333333336
1995-08-01,,75.47169811320755,56.92307692307692,74.16666666666667,38.333333333333336
1995-09-01,,75.11737089201877,40.909090909090914,82.91666666666667,41.25
1995-10-01,,75.70093457943925,91.04477611940298,82.91666666666667,54.58333333333333
1995-11-01,,77.67441860465117,48.529411764705884,73.75,65.0
1995-12-01,,78.70370370370371,44.927536231884055,68.33333333333333,77.91666666666667
1996-01-01,,78.80184331797236,84.28571428571429,54.166666666666664,87.91666666666667
1996-02-01,,78.44036697247707,81.69014084507043,31.25,78.33333333333333
1996-03-01,,79.90867579908677,93.05555555555556,41.25,88.33333333333333
1996-04-01,,75.9090909090909,50.68493150684932,50.416666666666664,78.33333333333333
1996-05-01,,74.2081447963801,24.324324324324326,56.25,71.25
1996-06-01,,65.76576576576578,29.333333333333332,50.83333333333333,60.83333333333333
1996-07-01,,62.78026905829597,67.10526315789474,54.166666666666664,52.083333333333336
1996-08-01,,54.46428571428571,38.961038961038966,54.58333333333333,57.91666666666667
1996-09-01,,57.77777777777777,60.256410256410255,51.24999999999999,53.75
1996-10-01,,59.29203539823009,49.36708860759494,44.583333333333336,56.25
1996-11-01,,61.67400881057269,50.0,53.75,55.00000000000001
1996-12-01,,64.03508771929825,93.82716049382715,49.166666666666664,80.41666666666667
1997-01-01,,61.135371179039296,56.09756097560976,55.00000000000001,53.333333333333336
1997-02-01,,55.65217391304348,56.62650602409639,53.333333333333336,72.5
1997-03-01,,48.05194805194805,38.095238095238095,66.25,54.58333333333333
1997-04-01,,44.827586206896555,42.35294117647059,82.08333333333333,91.66666666666666
1997-05-01,,43.776824034334766,62.7906976744186,83.75,94.58333333333333
1997-06-01,,47.008547008547005,77.01149425287356,83.75,86.25
1997-07-01,,44.25531914893617,73.86363636363636,85.41666666666666,77.5
1997-08-01,,47.45762711864407,92.13483146067416,82.91666666666667,79.58333333333333
1997-09-01,,45.14767932489451,77.77777777777779,82.91666666666667,83.33333333333334
1997-10-01,,40.7563025210084,76.92307692307693,85.83333333333333,87.5
1997-11-01,,34.30962343096235,100.0,90.0,88.33333333333333
1997-12-01,,33.75,77.41935483870968,90.83333333333333,83.75
1998-01-01,,35.833333333333336,78.72340425531915,88.75,89.16666666666667
1998-02-01,,37.5,73.68421052631578,87.91666666666667,97.5
1998-03-01,,39.58333333333333,77.08333333333334,87.08333333333333,98.75
1998-04-01,,32.5,89.69072164948454,88.75,83.75
1998-05-01,,33.33333333333333,45.91836734693878,85.41666666666666,81.66666666666667
1998-06-01,,38.75,68.68686868686868,88.33333333333333,89.16666666666667
1998-07-01,,44.583333333333336,60.0,84.58333333333333,98.75
1998-08-01,,42.083333333333336,100.0,83.33333333333334,98.33333333333333
1998-09-01,,35.833333333333336,100.0,78.33333333333333,99.16666666666667
1998-10-01,,31.25,98.05825242718447,49.166666666666664,96.25
1998-11-01,,30.833333333333336,94.23076923076923,58.75,95.83333333333334
1998-12-01,,31.25,89.52380952380953,64.58333333333334,93.33333333333333
1999-01-01,,35.833333333333336,88.67924528301887,80.0,95.0
1999-02-01,,27.083333333333332,74.76635514018692,75.0,83.33333333333334
1999-03-01,,19.583333333333332,38.88888888888889,66.66666666666666,76.66666666666667
1999-04-01,,20.0,37.61467889908257,52.5,85.0
1999-05-01,,19.583333333333332,71.81818181818181,51.24999999999999,79.58333333333333
1999-06-01,,18.333333333333332,28.82882882882883,59.583333333333336,81.25
1999-07-01,,14.583333333333334,37.5,66.66666666666666,59.166666666666664
1999-08-01,,9.166666666666666,87.61061946902655,70.0,45.416666666666664
1999-09-01,,7.083333333333333,83.33333333333334,68.75,54.58333333333333
1999-10-01,,5.416666666666667,80.8695652173913,70.83333333333334,68.33333333333333
1999-11-01,,5.416666666666667,52.58620689655172,85.0,49.583333333333336
1999-12-01,,4.583333333333333,20.51282051282051,82.5,40.0
2000-01-01,,5.0,12.711864406779661,81.25,50.83333333333333
2000-02-01,,10.416666666666668,21.008403361344538,91.66666666666666,46.666666666666664
2000-03-01,,10.0,83.33333333333334,92.5,44.583333333333336
2000-04-01,,5.0,96.69421487603306,96.66666666666667,77.5
2000-05-01,,6.666666666666667,93.44262295081968,95.83333333333334,72.08333333333333
2000-06-01,,13.750000000000002,87.8048780487805,92.91666666666667,68.33333333333333
2000-07-01,,24.583333333333332,50.806451612903224,87.5,87.91666666666667
2000-08-01,,38.75,56.00000000000001,92.5,92.5
2000-09-01,,40.416666666666664,85.71428571428571,86.25,87.08333333333333
2000-10-01,,47.5,95.2755905511811,84.58333333333333,91.25
2000-11-01,,53.333333333333336,85.15625,74.16666666666667,99.16666666666667
2000-12-01,,70.83333333333334,87.59689922480621,74.58333333333333,100.0
2001-01-01,,80.41666666666667,79.23076923076923,25.833333333333336,99.16666666666667
2001-02-01,,84.16666666666667,72.51908396946564,17.083333333333332,100.0
2001-03-01,,93.33333333333333,93.18181818181817,17.5,100.0
2001-04-01,,98.75,74.43609022556392,14.166666666666666,99.58333333333333
2001-05-01,,99.58333333333333,28.35820895522388,3.75,99.58333333333333
2001-06-01,,100.0,13.333333333333334,2.9166666666666665,99.58333333333333
2001-07-01,,100.0,29.411764705882355,10.416666666666668,99.16666666666667
2001-08-01,,100.0,55.47445255474452,14.166666666666666,98.75
2001-09-01,,100.0,100.0,2.5,100.0
2001-10-01,,100.0,88.48920863309353,0.0,96.66666666666667
2001-11-01,,100.0,62.857142857142854,0.0,98.33333333333333
2001-12-01,,99.58333333333333,9.219858156028367,1.25,98.33333333333333
2002-01-01,,98.75,2.112676056338028,4.583333333333333,97.91666666666666
2002-02-01,,98.33333333333333,16.083916083916083,8.75,96.25
2002-03-01,,97.5,11.805555555555555,15.0,94.16666666666667
2002-04-01,,97.91666666666666,25.517241379310345,13.333333333333334,93.75
2002-05-01,,97.08333333333333,14.383561643835616,14.583333333333334,93.75
2002-06-01,,96.25,85.71428571428571,10.0,91.66666666666666
2002-07-01,,95.0,95.27027027027027,7.083333333333333,88.33333333333333
2002-08-01,,93.33333333333333,72.48322147651007,7.083333333333333,89.16666666666667
2002-09-01,,93.75,91.33333333333333,19.583333333333332,81.25
2002-10-01,,92.5,86.09271523178808,13.333333333333334,93.33333333333333
2002-11-01,,91.66666666666666,56.57894736842105,8.333333333333332,89.16666666666667
2002-12-01,,91.66666666666666,19.607843137254903,1.6666666666666667,82.08333333333333
2003-01-01,,91.25,2.5974025974025974,1.6666666666666667,81.25
2003-02-01,,91.25,31.61290322580645,2.083333333333333,86.25
2003-03-01,,91.25,8.974358974358974,5.416666666666667,83.75
2003-04-01,,91.66666666666666,1.2738853503184715,10.833333333333334,90.83333333333333
2003-05-01,,92.5,1.2658227848101267,19.166666666666668,90.0
2003-06-01,,92.5,3.1446540880503147,19.166666666666668,88.33333333333333
2003-07-01,,89.58333333333334,0.0,6.666666666666667,87.91666666666667
2003-08-01,,88.33333333333333,0.0,2.083333333333333,86.66666666666667
2003-09-01,,86.66666666666667,0.0,1.6666666666666667,80.0
2003-10-01,,85.0,0.6134969325153374,12.083333333333334,78.33333333333333
2003-11-01,,77.91666666666667,0.6097560975609756,25.0,70.83333333333334
2003-12-01,,72.91666666666666,1.2121212121212122,24.583333333333332,69.58333333333333
2004-01-01,,72.5,3.0120481927710845,23.333333333333332,71.66666666666667
